55900000,22500000,0,0,Fjölbýli,2019,98.4,4,3,1,1,Sameiginlegur,Já,Já,210,64.0888245,-21.935083
73900000,61900000,63380000,0,Fjölbýli,2018,137.1,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Já,210,64.09579400000001,-21.9203435
55900000,22850000,0,0,Fjölbýli,2019,98.6,4,3,1,1,Sameiginlegur,Já,Já,210,64.0888245,-21.935083
55400000,44250000,46110000,0,Fjölbýli,2019,89.8,3,2,1,1,Sameiginlegur,Já,Já,201,64.0997838,-21.8756001
64900000,58500000,59330000,0,Fjölbýli,2018,126.5,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Já,210,64.09579400000001,-21.9203435
57900000,52300000,44500000,0,Fjölbýli,2008,121.7,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já,210,64.09232600000001,-21.937832
57900000,51800000,46300000,0,Fjölbýli,2018,111.2,4,3,1,1,Sameiginlegur,Já,Já,210,64.0702967,-21.9042309
61900000,54000000,40700000,0,Fjölbýli,2015,115.6,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Já,210,64.0888245,-21.935083
61900000,58050000,45280000,0,Fjölbýli,2015,101.3,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já,200,64.1157338,-21.8944674
41900000,38900000,31700000,0,Fjölbýli,2002,89.3,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað,221,64.0563229,-21.9461178
64900000,53300000,50650000,0,Fjölbýli,2018,129.4,4,3,1,1,Sameiginlegur,Já,Já,210,64.0702967,-21.9042309
68900000,56900000,54600000,0,Fjölbýli,2018,138.6,4,3,1,1,Sameiginlegur,Já,Já,210,64.0702967,-21.9042309
57900000,53000000,50610000,0,Fjölbýli,2018,130,4,3,1,Óuppgefið,Ekki vitað,Já,Já,210,64.0702967,-21.9042309
57900000,48850000,43900000,0,Fjölbýli,2018,106.9,4,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað,210,64.0702967,-21.9042309
56900000,50550000,46500000,0,Fjölbýli,2018,111.5,4,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað,210,64.0702967,-21.9042309
44900000,46600000,35150000,0,Fjölbýli,1996,105.1,5,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,201,64.1045852,-21.8868848
36500000,31550000,20950000,0,Fjölbýli,1994,61.5,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,201,64.101366,-21.889487
39500000,2880000,0,0,Fjölbýli,2019,60.3,2,1,1,1,Sameiginlegur,Já,Nei / Ekki vitað,270,64.1661124,-21.703853
35900000,2760000,0,0,Fjölbýli,2019,56.5,2,1,1,1,Sameiginlegur,Já,Já,270,64.1661124,-21.703853
59500000,4460000,0,0,Fjölbýli,2019,113.5,3,2,1,1,Sameiginlegur,Já,Já,270,64.1661124,-21.703853
59500000,4400000,0,0,Fjölbýli,2019,111.5,3,2,1,1,Sameiginlegur,Já,Já,270,64.1661124,-21.703853
