41900000,37500000,25250000,0,Fjölbýli,1957,80.9,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,10. janúar 2020,10. janúar 2020,Gnoðarvogur 70,104,Reykjavík,/fasteignir/fasteign/895795/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=16,895795,69b18d9d-8bc0-46cc-8462-81ba20b5ec78
56900000,0,0,0,Fjölbýli,2019,111.4,4,3,1,0,Ekki vitað,Já,Nei / Ekki vitað,10. janúar 2020,10. janúar 2020,Brattahlíð 46,270,Mosfellsbæ,/fasteignir/fasteign/895794/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=17,895794,439dff7f-e1d3-47b3-9c92-44625aead31b
57900000,36750000,0,0,Fjölbýli,2019,111.4,4,3,1,1,Sérinngangur,Já,Nei / Ekki vitað,10. janúar 2020,10. janúar 2020,Brattahlíð 40,270,Mosfellsbæ,/fasteignir/fasteign/895792/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=18,895792,7b5b27d4-d86a-4932-84e9-0948c2ae5c84
45700000,43500000,39020000,0,Fjölbýli,2004,104.7,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já,10. janúar 2020,10. janúar 2020,Rauðavað 17,110,Reykjavík,/fasteignir/fasteign/895791/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=19,895791,f26c4d1d-69ad-4218-b0d4-39ce5536aa2c
44900000,39150000,36300000,0,Fjölbýli,1978,110.7,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Já,10. janúar 2020,10. janúar 2020,Ugluhólar 6,111,Reykjavík,/fasteignir/fasteign/895790/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=20,895790,9db7ca57-cca3-4a77-8f94-78fbc9533858
57900000,48450000,44800000,0,Fjölbýli,2017,100.7,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,9. janúar 2020,9. janúar 2020,Holtsvegur 10,210,Garðabæ,/fasteignir/fasteign/895789/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=21,895789,a81cb027-dee7-4f4c-96fa-2fdc81e769e1
89900000,68650000,62250000,0,Einbýli,1985,253.6,7,5,2,3,Ekki vitað,Nei / Ekki vitað,Já,9. janúar 2020,9. janúar 2020,Logafold m. aukaíbúð 156,112,Reykjavík,/fasteignir/fasteign/895788/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=22,895788,44fe044c-8a92-4103-a358-f518efe63d7a
52900000,45050000,53460000,0,Fjölbýli,2018,99.4,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já,9. janúar 2020,9. janúar 2020,Holtsvegur 13,210,Garðabæ,/fasteignir/fasteign/895785/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=23,895785,3a266860-f8dd-445e-bfbe-526940a4b879
99800000,19300000,0,0,Einbýli,None,328.7,8,5,3,3,Sérinngangur,Já,Já,9. janúar 2020,9. janúar 2020,Döllugata aukaíbúð 9,113,Reykjavík,/fasteignir/fasteign/895782/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=24,895782,8be152a5-a773-4467-a270-2712d14c465e
47900000,38800000,41050000,0,Fjölbýli,2017,88.8,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Já,9. janúar 2020,9. janúar 2020,Gerplustræti 6c,270,Mosfellsbæ,/fasteignir/fasteign/895780/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=25,895780,efd1ab47-f03e-4956-9561-48c2e9c2fd37
43900000,37450000,34600000,0,Fjölbýli,1990,114.4,4,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,9. janúar 2020,9. janúar 2020,Þverholt 11,270,Mosfellsbæ,/fasteignir/fasteign/895779/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=26,895779,bfc17f03-6c91-4a0e-a79d-cece472ec421
49900000,3950000,0,0,Fjölbýli,2019,95.2,2,1,1,1,Sameiginlegur,Já,Nei / Ekki vitað,9. janúar 2020,9. janúar 2020,Bjarkarholt 10,270,Mosfellsbæ,/fasteignir/fasteign/895733/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=55,895733,9de5a429-7591-4aa0-9a50-a1510a2a7086
37200000,35300000,25050000,0,Fjölbýli,2004,76.2,2,Óuppgefið,Óuppgefið,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað,9. janúar 2020,9. janúar 2020,Asparholt 1,225,Garðabæ,/fasteignir/fasteign/895776/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=27,895776,1dcf6532-ad0f-4e94-a1cc-50eb349e02ea
43500000,40400000,40970000,0,Fjölbýli,1997,87.1,3,2,1,1,Sérinngangur,Nei / Ekki vitað,Já,9. janúar 2020,9. janúar 2020,Breiðavík 39,112,Reykjavík,/fasteignir/fasteign/895773/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=28,895773,16d83af4-40c5-4fb3-8184-cf7f15b8e5c9
33500000,30400000,19050000,0,Fjölbýli,1964,59,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,9. janúar 2020,9. janúar 2020,Fellsmúli 9,108,Reykjavík,/fasteignir/fasteign/895772/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=29,895772,72645258-04fe-4fe2-9b4d-cc113510c789
28900000,27450000,18600000,0,Fjölbýli,1974,63.7,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,9. janúar 2020,9. janúar 2020,Dúfnahólar 4,111,Reykjavík,/fasteignir/fasteign/895771/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=30,895771,4596b68c-e7bf-46b1-ad23-1fdeaa0f9db9
59900000,52950000,44100000,0,Fjölbýli,2007,133.3,5,4,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað,9. janúar 2020,9. janúar 2020,Gullengi 6,112,Reykjavík,/fasteignir/fasteign/895768/?q=608ec84b95cae76e291ad04ac0f31b40&item_num=31,895768,d9c486fa-de99-4ccc-bdea-a3b4218e8628
